#SOCIAL
Name        ahem~
CharNoArg   You clear your throat loudly and look slowly around.~
OthersNoArg $n clears $s throat loudly and looks around.~
CharFound   You cock an eyebrow at $N and clear your throat.~
OthersFound $n cocks an eyebrow at $N and clears $s throat.~
VictFound   $n cocks an eyebrow at you and clears $s throat.~
CharAuto    You quickly clear your throat and glance around nervously.~
OthersAuto  $n suddenly clears $s throat and glances around nervously.~
End

#SOCIAL
Name        apologize~
CharNoArg   You apologize for your behavior.~
OthersNoArg $n apologizes for $s rude behavior.~
CharFound   You apologize to $M.~
OthersFound $n apologizes to $N.~
VictFound   $n apologizes to you.~
CharAuto    You apologize to yourself.~
OthersAuto  $n apologizes to $mself.  Hmmmm.~
End

#SOCIAL
Name        applaud~
CharNoArg   Clap, clap, clap!~
OthersNoArg $n gives a round of applause.~
CharFound   You clap at $S actions.~
OthersFound $n claps at $N's actions.~
VictFound   $n gives you a round of applause.  You should take a bow!~
CharAuto    You applaud at yourself.  That's a bit conceited!~
OthersAuto  $n applauds at $mself.  That's a bit conceited!~
End

#SOCIAL
Name        bah~
CharNoArg   You utter "Bah!" out of frustration.~
OthersNoArg $n says, "Bah!" and turns away in contempt.~
CharFound   You utter incoherent words in your state of anxiety.~
OthersFound $n says "Bah!" suddenly.~
VictFound   $n bahs at you.~
CharAuto    Talking to yourself again?~
OthersAuto  $n is obviously frustrated.~
End

#SOCIAL
Name        bashful~
CharNoArg   For some reason, you start feeling very bashful.~
OthersNoArg $n begins looking quite bashful.~
CharFound   You look up at $N, look down, and flounder.~
OthersFound $n looks at $N, then bashfully away.~
VictFound   $n looks up at you, then bashfully flounders.~
CharAuto    For some reason, you start feeling very bashful.~
OthersAuto  $n begins looking quite bashful.~
End

#SOCIAL
Name        bbl~
CharNoArg   You announce that you will be back later.~
OthersNoArg $n announces that $e'll be back later.~
CharFound   You inform $M that you will be back later.~
OthersFound $n informs $N that $e will be back later~
VictFound   $n informs you that $e will be back later~
CharAuto    You mumble to yourself that you'll be back later.~
OthersAuto  $n mumbles to $mself that $e'll be back later.~
End

#SOCIAL
Name        beckon~
CharNoArg   You beckon to all who can see.~
OthersNoArg $n beckons openly, trying to catch attention.~
CharFound   You beckon $N to follow you.~
OthersFound $n beckons $N follow $m.~
VictFound   $n beckons you follow $m.~
CharAuto    Psst, c'mon $n. Follow me! ...Us?~
OthersAuto  $n beckons $n follow $n. Wait. Wha?~
End

#SOCIAL
Name        beg~
CharNoArg   You get down on your knees in desperation and beg.~
OthersNoArg $n's plainly desperate, kneeling down to beg.~
CharFound   You desperately beg for a favor from $N.~
OthersFound $n gets on $s knees begging for a favor from $N.~
VictFound   $n is begging you for something.~
CharAuto    You beg yourself to let up with the negative thoughts.~
OthersAuto  $n seems to be struggling with some internal turmoil.~
End

#SOCIAL
Name        bkiss~
CharNoArg   Blow a kiss to whom?~
OthersNoArg $n blows at $s hand.~
CharFound   You blow a kiss to $M.~
OthersFound $n blows a kiss to $N. Cute! ~
VictFound   $n blows a kiss to you. Ohoho! ~
CharAuto    You blow a kiss to yourself. Fulllll circle.~
OthersAuto  $n blows a kiss to... $mself?~
End

#SOCIAL
Name        blink~
CharNoArg   You blink in utter disbelief.~
OthersNoArg $n blinks in utter disbelief.~
CharFound   You blink at $M in confusion.~
OthersFound $n blinks at $N in confusion.~
VictFound   $n blinks at you in confusion.~
CharAuto    All you can do right now is blink. You're just. Stunned.~
OthersAuto  $n blinks at $mself in complete confusion.~
End

#SOCIAL
Name        blush~
CharNoArg   Your cheeks are burning.~
OthersNoArg $n blushes.~
CharFound   You get all flustered at $M.~
OthersFound $n blushes as $e sees $N here.~
VictFound   $n blushes as $e sees you here.~
CharAuto    You blush at your own folly.~
OthersAuto  $n blushes in frustration.~
End

#SOCIAL
Name        bow~
CharNoArg   You bow deeply.~
OthersNoArg $n bows deeply.~
CharFound   You bow before $M.~
OthersFound $n bows before $N.~
VictFound   $n bows before you.~
CharAuto    You bow to yourself. You feel respected.~
OthersAuto  $n is very self-respecting.~
End

#SOCIAL
Name        brb~
CharNoArg   You announce that you will be right back.~
OthersNoArg $n says, 'I'll be back!'~
CharFound   You announce to $M that you will be right back.~
OthersFound $n says to $N, 'I'll be back!'~
VictFound   $n says to you, 'I'll be right back!'~
